TT;buffer_h;rope_cap;n_tf_orden;lead_time;lead_time_sd;OTD;avg_wip;cb_util;cb_starv;buf_wait;replica
500;2.0;2;6;24,35185721;15,39865302;41,88888889;16,96371568;67,8988699;32,1011301;0,519477932;26
500;2.0;2;6;28,01796462;20,09427726;41;20,60925386;73,81062076;26,18937924;0,544223528;27
500;2.0;2;6;21,65530493;16,79640988;53;14,43588496;67,1181304;32,8818696;0,542047973;28
500;2.0;2;6;30,17949314;17,69127656;28,77777778;22,76148629;76,91222209;23,08777791;0,580476517;29
250;2.0;4;12;20,56048972;12,12290963;43,27777778;32,04954214;78,68475791;21,31524209;0,999395148;0
250;2.0;4;12;15,71662634;12,85853534;68,66666667;24,06555021;78,83712808;21,16287192;0,996341622;1
250;2.0;4;12;13,32732017;9,163131227;73,83333333;21,53143694;78,86890727;21,13109273;0,930161032;2
250;2.0;4;12;16,06040335;11,73073113;67,27777778;26,50581305;83,12826392;16,87173608;0,998834641;3
250;2.0;4;12;12,24965321;7,527478233;78,27777778;18,61162821;76,31717205;23,68282795;0,956999788;4
250;2.0;4;12;32,27817572;16,69427813;22,05555556;58,37368436;91,77060927;8,229390729;1,01841749;5
250;2.0;4;12;30,72956718;22,74941529;41,11111111;51,49938388;81,2659691;18,7340309;0,957736641;6
250;2.0;4;12;26,52156974;18,11603791;41,88888889;45,36633545;88,70705947;11,29294053;1,054104535;7
250;2.0;4;12;11,90829812;8,151886114;78;16,62892498;74,81649025;25,18350975;1,018185479;8
250;2.0;4;12;11,6282914;9,292316183;79,88888889;16,13708654;70,06186847;29,93813153;0,970698108;9
250;2.0;4;12;13,99236459;9,521320165;71,94444444;21,60814013;78,2775542;21,7224458;0,965386706;10
250;2.0;4;12;21,85078417;13,87535022;45,5;36,27605737;85,45631422;14,54368578;1,047910229;11
250;2.0;4;12;13,41743368;8,465955642;69,77777778;21,26131383;78,44820463;21,55179537;0,920138112;12
250;2.0;4;12;15,56828744;10,66680617;60,83333333;23,54953823;77,70204826;22,29795174;0,997851115;13
250;2.0;4;12;13,83521329;10,81942799;75,22222222;20,77568621;73,90686663;26,09313337;0,948599008;14
